2016-05-27 09:41:48,055 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [Line:220] - Mapped "{[/sdn/vpnpostion/{realNumber}/{start}/{end}],methods=[GET],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.util.List<zx.soft.sdn.api.model.VPNPostion> zx.soft.sdn.api.controller.SDNController.getVPNPostion(java.lang.String,java.lang.String,java.lang.String)
2016-05-27 09:41:48,056 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [Line:220] - Mapped "{[/sdn/vpnpostion/{start}/{end}],methods=[GET],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.util.Map<java.lang.String, java.lang.Object> zx.soft.sdn.api.controller.SDNController.getVPNPostion(java.lang.String,java.lang.String)
2016-05-27 09:41:48,056 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [Line:220] - Mapped "{[/vpnpostion/{realNumber}/{start}/{end}],methods=[GET],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.util.List<zx.soft.sdn.api.model.VPNPostion> zx.soft.sdn.api.controller.VPNPostionController.getVPNPostion(java.lang.String,java.lang.String,java.lang.String)
2016-05-27 09:41:48,056 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [Line:220] - Mapped "{[/vpnpostion/{start}/{end}],methods=[GET],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.util.Map<java.lang.String, java.lang.Object> zx.soft.sdn.api.controller.VPNPostionController.getVPNPostion(java.lang.String,java.lang.String)
2016-05-27 09:41:48,057 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [Line:220] - Mapped "{[/vpnuser/{realNumber}],methods=[GET],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public zx.soft.sdn.api.model.VPNUser zx.soft.sdn.api.controller.VPNUserController.getVPNUser(java.lang.String)
2016-05-27 09:41:48,057 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [Line:220] - Mapped "{[/vpnusers/{pageNo}/{pageSize}/{vpnUserJson:.+}],methods=[GET],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.util.Map<java.lang.String, java.lang.Object> zx.soft.sdn.api.controller.VPNUserController.getVPNUsers(int,int,java.lang.String)
2016-05-27 09:41:48,057 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [Line:220] - Mapped "{[/vpnusers/{pageNo}/{pageSize}],methods=[GET],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.util.Map<java.lang.String, java.lang.Object> zx.soft.sdn.api.controller.VPNUserController.getVPNUsers(int,int,zx.soft.sdn.api.model.VPNUser)
2016-05-27 09:41:48,058 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [Line:220] - Mapped "{[/vpnusers/{realNumbers}],methods=[GET],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.util.List<zx.soft.sdn.api.model.VPNUser> zx.soft.sdn.api.controller.VPNUserController.getVPNUsers(java.lang.String)
2016-05-27 09:41:48,058 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [Line:220] - Mapped "{[/vpnuser],methods=[POST],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public zx.soft.sdn.api.common.HandResult zx.soft.sdn.api.controller.VPNUserController.postVPNUser(zx.soft.sdn.api.model.VPNUser)
2016-05-27 09:41:48,116 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerAdapter [Line:523] - Looking for @ControllerAdvice: WebApplicationContext for namespace 'controller-servlet': startup date [Fri May 27 09:41:47 CST 2016]; parent: Root WebApplicationContext
2016-05-27 09:41:48,137 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerAdapter [Line:523] - Looking for @ControllerAdvice: WebApplicationContext for namespace 'controller-servlet': startup date [Fri May 27 09:41:47 CST 2016]; parent: Root WebApplicationContext
2016-05-27 09:41:48,178 [main] INFO  o.s.w.s.h.SimpleUrlHandlerMapping [Line:314] - Mapped URL path [/static/**] onto handler 'org.springframework.web.servlet.resource.ResourceHttpRequestHandler#0'
2016-05-27 09:41:48,202 [main] INFO  o.s.web.servlet.DispatcherServlet [Line:503] - FrameworkServlet 'controller': initialization completed in 457 ms
2016-05-27 09:41:48,202 [main] INFO  o.e.j.server.handler.ContextHandler [Line:745] - Started o.e.j.w.WebAppContext@776aec5c{/sdn,file:///home/xuran/Works/eclipse-works/sdn/sdn-api/target/classes/webapp/,AVAILABLE}
2016-05-27 09:41:48,245 [main] INFO  o.e.jetty.server.ServerConnector [Line:266] - Started ServerConnector@399f45b1{HTTP/1.1,[http/1.1]}{0.0.0.0:8901}
2016-05-27 09:41:48,246 [main] INFO  org.eclipse.jetty.server.Server [Line:391] - Started @5069ms
2016-05-27 09:41:48,246 [main] INFO  zx.soft.sdn.api.server.JettyServer [Line:49 ] - Server started at port 8901 at context path /sdn
2016-05-27 09:43:04,227 [qtp1888442711-17 - //localhost:8901/sdn/vpnpostion/13912345678/1/2] INFO  z.s.sdn.api.common.ControllerAspect [Line:23 ] - 开始执行:execution(VPNPostionController.getVPNPostion(..))
2016-05-27 09:43:05,059 [qtp1888442711-17 - //localhost:8901/sdn/vpnpostion/13912345678/1/2] INFO  z.s.sdn.api.common.ControllerAspect [Line:28 ] - execution(VPNPostionController.getVPNPostion(..))[耗时:832]
2016-05-27 09:43:13,042 [qtp1888442711-21 - //localhost:8901/sdn/vpncards/1/2/%7B%22id%22:1%7D] INFO  z.s.sdn.api.common.ControllerAspect [Line:23 ] - 开始执行:execution(VPNCardController.getVPNCards(..))
2016-05-27 09:43:13,154 [qtp1888442711-21 - //localhost:8901/sdn/vpncards/1/2/%7B%22id%22:1%7D] INFO  z.s.sdn.api.common.ControllerAspect [Line:28 ] - execution(VPNCardController.getVPNCards(..))[耗时:112]
